Date,Male Unemployment,Female Unemployment,Year,Male,Female
Jan-01,6.5,5.7,2001,7.0,6.5
Feb-01,6.8,6.2,2002,6.6,6.2
Mar-01,6.8,6.1,2003,5.9,6.0
Apr-01,7,6.5,2004,5.3,5.5
May-01,7,6.7,2005,4.9,5.2
Jun-01,7.2,6.7,2006,4.7,4.9
Jul-01,7.2,6.5,2007,4.1,4.8
Aug-01,7.1,6.6,2008,4.0,4.6
Sep-01,7.1,6.5,2009,5.7,5.4
Oct-01,7.4,6.9,2010,5.1,5.4
Nov-01,7.2,6.5,2011,4.9,5.3
Dec-01,7,6.7,2012,5.2,5.3
Jan-02,7.1,6.7,2013,5.7,5.6
Feb-02,6.9,6.1,2014,6.0,6.1
Mar-02,6.8,5.9,2015,6.0,6.1
Apr-02,6.7,5.9,2016,5.7,5.8
May-02,6.7,6,2017,5.5,5.7
Jun-02,6.5,6.5,2018,5.3,5.3
Jul-02,6.3,6.1,2019,5.2,5.1
Aug-02,6.5,6.2,2020,6.6,6.4
Sep-02,6.4,6.3,2021,5.2,5.0
Oct-02,6.2,6.1,,,
Nov-02,6.2,6.2,,,
Dec-02,6.3,6,,,
Jan-03,6.2,5.9,,,
Feb-03,6.1,5.8,,,
Mar-03,6.1,6.2,,,
Apr-03,6.2,5.8,,,
May-03,6.1,6.1,,,
Jun-03,6.2,5.9,,,
Jul-03,6.1,6.1,,,
Aug-03,5.7,5.9,,,
Sep-03,5.6,6,,,
Oct-03,5.7,5.9,,,
Nov-03,5.4,6,,,
Dec-03,5.4,6,,,
Jan-04,5.3,5.8,,,
Feb-04,5.4,5.9,,,
Mar-04,5.3,5.6,,,
Apr-04,5.5,5.6,,,
May-04,5.2,5.5,,,
Jun-04,5.4,5.6,,,
Jul-04,5.4,5.8,,,
Aug-04,5.4,5.6,,,
Sep-04,5.4,5.4,,,
Oct-04,5.1,5.2,,,
Nov-04,5.1,5.2,,,
Dec-04,5,5.2,,,
Jan-05,4.9,5.3,,,
Feb-05,4.9,5.3,,,
Mar-05,4.9,5.5,,,
Apr-05,4.9,5.4,,,
May-05,4.9,5.3,,,
Jun-05,4.8,5.2,,,
Jul-05,4.7,5.3,,,
Aug-05,4.9,4.9,,,
Sep-05,4.9,5.1,,,
Oct-05,4.9,5.1,,,
Nov-05,4.9,4.9,,,
Dec-05,5.1,5.1,,,
Jan-06,5.1,5.2,,,
Feb-06,5.1,5.1,,,
Mar-06,4.8,4.9,,,
Apr-06,4.8,5.2,,,
May-06,4.7,4.9,,,
Jun-06,4.7,5,,,
Jul-06,4.6,4.7,,,
Aug-06,4.6,4.8,,,
Sep-06,4.6,4.7,,,
Oct-06,4.3,4.6,,,
Nov-06,4.4,4.7,,,
Dec-06,4.3,5,,,
Jan-07,4.3,4.9,,,
Feb-07,4.3,5.1,,,
Mar-07,4.1,4.9,,,
Apr-07,4,4.8,,,
May-07,3.9,4.7,,,
Jun-07,3.9,4.8,,,
Jul-07,3.9,4.7,,,
Aug-07,4,4.7,,,
Sep-07,3.8,4.7,,,
Oct-07,4,4.7,,,
Nov-07,4.2,4.7,,,
Dec-07,4.2,4.4,,,
Jan-08,3.8,4.7,,,
Feb-08,3.6,4.4,,,
Mar-08,3.9,4.2,,,
Apr-08,4.1,4.5,,,
May-08,4,4.6,,,
Jun-08,4,4.6,,,
Jul-08,3.8,4.8,,,
Aug-08,3.7,4.4,,,
Sep-08,4,4.6,,,
Oct-08,4,4.7,,,
Nov-08,4.1,4.8,,,
Dec-08,4.6,4.5,,,
Jan-09,5,4.8,,,
Feb-09,5.3,5.4,,,
Mar-09,5.8,5.7,,,
Apr-09,5.7,5.3,,,
May-09,6.2,5.4,,,
Jun-09,6.2,5.5,,,
Jul-09,6,5.3,,,
Aug-09,5.8,5.6,,,
Sep-09,5.7,5.6,,,
Oct-09,5.7,5.5,,,
Nov-09,5.7,5.4,,,
Dec-09,5.6,5.4,,,
Jan-10,5.2,5.3,,,
Feb-10,5.3,5.3,,,
Mar-10,5.5,5.3,,,
Apr-10,5.5,5.5,,,
May-10,5.2,5.2,,,
Jun-10,5.1,5.2,,,
Jul-10,5.1,5.5,,,
Aug-10,4.7,5.4,,,
Sep-10,4.9,5.3,,,
Oct-10,5,5.6,,,
Nov-10,4.7,5.6,,,
Dec-10,4.6,5.2,,,
Jan-11,4.7,5.4,,,
Feb-11,4.8,5.2,,,
Mar-11,4.6,5.3,,,
Apr-11,4.9,5.1,,,
May-11,4.7,5.3,,,
Jun-11,4.7,5.2,,,
Jul-11,4.9,5.3,,,
Aug-11,5.2,5.3,,,
Sep-11,5.1,5.3,,,
Oct-11,5.2,5.2,,,
Nov-11,5.1,5.4,,,
Dec-11,4.9,5.6,,,
Jan-12,4.9,5.2,,,
Feb-12,5.1,5.3,,,
Mar-12,5.1,5.3,,,
Apr-12,4.9,5.1,,,
May-12,5,5.5,,,
Jun-12,4.9,5.5,,,
Jul-12,5.1,5.2,,,
Aug-12,5.3,5,,,
Sep-12,5.7,5.3,,,
Oct-12,5.3,5.5,,,
Nov-12,5.3,5.2,,,
Dec-12,5.4,5.5,,,
Jan-13,5.4,5.4,,,
Feb-13,5.4,5.4,,,
Mar-13,5.7,5.5,,,
Apr-13,5.6,5.6,,,
May-13,5.6,5.6,,,
Jun-13,5.7,5.6,,,
Jul-13,5.7,5.6,,,
Aug-13,5.9,5.8,,,
Sep-13,5.7,5.7,,,
Oct-13,5.9,5.7,,,
Nov-13,5.9,5.7,,,
Dec-13,6.1,5.7,,,
Jan-14,5.9,6,,,
Feb-14,5.8,6,,,
Mar-14,5.7,6.1,,,
Apr-14,5.8,5.8,,,
May-14,5.8,6.1,,,
Jun-14,6.1,6,,,
Jul-14,6.2,6.2,,,
Aug-14,6.1,6.1,,,
Sep-14,6.1,6.4,,,
Oct-14,6.2,6.5,,,
Nov-14,6.3,6.3,,,
Dec-14,6,6.2,,,
Jan-15,6.4,6.3,,,
Feb-15,6.2,6.1,,,
Mar-15,6.1,6.1,,,
Apr-15,6.1,6.1,,,
May-15,5.9,5.9,,,
Jun-15,6,6,,,
Jul-15,6,6.5,,,
Aug-15,6.1,6,,,
Sep-15,6.2,6.1,,,
Oct-15,5.9,5.9,,,
Nov-15,5.7,6,,,
Dec-15,5.6,5.9,,,
Jan-16,6.1,6,,,
Feb-16,5.6,5.8,,,
Mar-16,5.7,5.7,,,
Apr-16,5.6,5.7,,,
May-16,5.7,5.8,,,
Jun-16,5.4,6,,,
Jul-16,5.5,5.9,,,
Aug-16,5.6,5.6,,,
Sep-16,5.6,5.7,,,
Oct-16,5.5,5.6,,,
Nov-16,5.7,5.9,,,
Dec-16,5.8,5.8,,,
Jan-17,5.6,5.8,,,
Feb-17,5.8,5.9,,,
Mar-17,5.7,6,,,
Apr-17,5.4,5.9,,,
May-17,5.5,5.6,,,
Jun-17,5.5,5.7,,,
Jul-17,5.5,5.6,,,
Aug-17,5.5,5.5,,,
Sep-17,5.4,5.5,,,
Oct-17,5.2,5.5,,,
Nov-17,5.4,5.5,,,
Dec-17,5.7,5.5,,,
Jan-18,5.5,5.6,,,
Feb-18,5.6,5.6,,,
Mar-18,5.5,5.5,,,
Apr-18,5.6,5.5,,,
May-18,5.4,5.5,,,
Jun-18,5.5,5.1,,,
Jul-18,5.3,5.2,,,
Aug-18,5.2,5.4,,,
Sep-18,4.8,5.2,,,
Oct-18,4.9,5,,,
Nov-18,5.2,5,,,
Dec-18,5,5.1,,,
Jan-19,5,5.2,,,
Feb-19,5,5,,,
Mar-19,5.1,5.1,,,
Apr-19,5.2,5.2,,,
May-19,5.3,5.2,,,
Jun-19,5.2,5.3,,,
Jul-19,5.2,5.3,,,
Aug-19,5.3,5.2,,,
Sep-19,5.4,5,,,
Oct-19,5.4,5.1,,,
Nov-19,5.2,5,,,
Dec-19,5.2,4.9,,,
Jan-20,5.4,5.2,,,
Feb-20,5.3,4.9,,,
Mar-20,5.3,5.1,,,
Apr-20,6.6,6,,,
May-20,7.1,7,,,
Jun-20,7.4,7.3,,,
Jul-20,7.4,7.5,,,
Aug-20,7,6.6,,,
Sep-20,7.1,6.6,,,
Oct-20,6.9,7,,,
Nov-20,6.6,7.1,,,
Dec-20,6.7,6.5,,,
Jan-21,6.5,6.2,,,
Feb-21,6.1,5.5,,,
Mar-21,5.9,5.3,,,
Apr-21,5.7,5.2,,,
May-21,5.3,4.8,,,
Jun-21,5.1,4.7,,,
Jul-21,4.6,4.7,,,
Aug-21,4.7,4.4,,,
Sep-21,4.5,4.9,,,
Oct-21,5,5.4,,,
Nov-21,4.6,4.6,,,
Dec-21,4.2,4.1,,,
